,Latitude_x,Longitude_x,index_x,join_key,Latitude_y,Longitude_y,index_y,euclidean_distance,MRT_Name,coordinate_pair,distance,duration,centroid_name
0,1.4388077562480677,103.80305139967076,246,A,1.440588562,103.8009905,12,0.30280760028541487,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4388077562480677, lon_x=103.80305139967076, lat_y=1.440588562, lon_y=103.8009905)",0.436,3.066666666666667,WOODLANDS GALAXY COMMUNITY CLUB
1,1.4437277903544683,103.80132464715813,204,A,1.440588562,103.8009905,12,0.35103691099791895,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4437277903544683, lon_x=103.80132464715813, lat_y=1.440588562, lon_y=103.8009905)",1.135,7.216666666666667,788B WOODLANDS CRESCENT
2,1.440681641599151,103.79773334236516,32,A,1.440588562,103.8009905,12,0.36221282514881564,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.440681641599151, lon_x=103.79773334236516, lat_y=1.440588562, lon_y=103.8009905)",0.414,2.9833333333333334,710 WOODLANDS DRIVE 70
3,1.435566123626416,103.7984696563486,123,A,1.440588562,103.8009905,12,0.6248278070938873,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.435566123626416, lon_x=103.7984696563486, lat_y=1.440588562, lon_y=103.8009905)",1.422,8.9,662 WOODLANDS RING ROAD
4,1.4431417600860352,103.80693659397264,104,A,1.440588562,103.8009905,12,0.7193587147852767,ADMIRALTY MRT STATION,"coordinate_pair(lat_x=1.4431417600860352, lon_x=103.80693659397264, lat_y=1.440588562, lon_y=103.8009905)",0.91,6.883333333333334,688B WOODLANDS DRIVE 75
5,1.3197570291249976,103.88524398979668,156,A,1.316432612,103.882906,9,0.4518819145630948,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3197570291249976, lon_x=103.88524398979668, lat_y=1.316432612, lon_y=103.882906)",1.075,6.85,108 ALJUNIED CRESCENT
6,1.3171248251194296,103.87774943658017,9,A,1.316432612,103.882906,9,0.5783767895476879,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3171248251194296, lon_x=103.87774943658017, lat_y=1.316432612, lon_y=103.882906)",0.974,6.083333333333333,PAN-I COMPLEX
7,1.3086360272035835,103.88541244775529,105,A,1.316432612,103.882906,9,0.9106159727947873,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3086360272035835, lon_x=103.88541244775529, lat_y=1.316432612, lon_y=103.882906)",1.331,8.7,MULTI STOREY CAR PARK
8,1.3246432227355975,103.88695515720822,225,A,1.316432612,103.882906,9,1.0179110271801532,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.3246432227355975, lon_x=103.88695515720822, lat_y=1.316432612, lon_y=103.882906)",2.555,16.3,57 CIRCUIT ROAD
9,1.313588946032592,103.87226653774702,119,A,1.316432612,103.882906,9,1.224280760892767,ALJUNIED MRT STATION,"coordinate_pair(lat_x=1.313588946032592, lon_x=103.87226653774702, lat_y=1.316432612, lon_y=103.882906)",1.736,10.8,KALLANG HEIGHTS
10,1.3662038012058704,103.8486010062186,12,A,1.369428557,103.8494552,52,0.37093602877634835,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3662038012058704, lon_x=103.8486010062186, lat_y=1.369428557, lon_y=103.8494552)",0.598,4.116666666666666,TECK GHEE EVERGREEN
11,1.3733699031048503,103.84966699365253,249,A,1.369428557,103.8494552,52,0.43888962898079426,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3733699031048503, lon_x=103.84966699365253, lat_y=1.369428557, lon_y=103.8494552)",2.748,17.483333333333334,CHENG SAN CREST
12,1.3709738116242183,103.84511535366347,182,A,1.369428557,103.8494552,52,0.5121164252029159,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3709738116242183, lon_x=103.84511535366347, lat_y=1.369428557, lon_y=103.8494552)",1.123,7.433333333333334,124 ANG MO KIO AVENUE 6
13,1.372266947456476,103.8535672481216,233,A,1.369428557,103.8494552,52,0.5554820723214764,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.372266947456476, lon_x=103.8535672481216, lat_y=1.369428557, lon_y=103.8494552)",3.313,21.05,PARK CENTRAL @ AMK
14,1.3662625430688309,103.84369091606789,180,A,1.369428557,103.8494552,52,0.7311155609279517,ANG MO KIO MRT STATION,"coordinate_pair(lat_x=1.3662625430688309, lon_x=103.84369091606789, lat_y=1.369428557, lon_y=103.8494552)",0.907,5.75,206 ANG MO KIO AVENUE 1
15,1.3871543749976811,103.90472237219862,14,A,1.387994311,103.9054153,115,0.1210626241817784,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3871543749976811, lon_x=103.90472237219862, lat_y=1.387994311, lon_y=103.9054153)",0.727,4.75,RIVERVALE BANK
16,1.3899114203180352,103.90844068671731,145,A,1.387994311,103.9054153,115,0.39817869367813763,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3899114203180352, lon_x=103.90844068671731, lat_y=1.387994311, lon_y=103.9054153)",0.559,3.65,RIVERVALE DELTA
17,1.3886487385831454,103.90167419669775,274,A,1.387994311,103.9054153,115,0.42218816805408044,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3886487385831454, lon_x=103.90167419669775, lat_y=1.387994311, lon_y=103.9054153)",1.152,7.333333333333333,COMPASSVALE PLAINS
18,1.3840486849738411,103.90046940649889,179,A,1.387994311,103.9054153,115,0.7033948423408735,BAKAU LRT STATION,"coordinate_pair(lat_x=1.3840486849738411, lon_x=103.90046940649889, lat_y=1.387994311, lon_y=103.9054153)",0.882,5.416666666666667,RIVERVALE COURT
